,doi,display_name_author_fr,display_name_author_fr_utf8
169,https://doi.org/10.1016/j.optmat.2024.116264,A. Ferrier,a. ferrier
170,https://doi.org/10.1016/j.rehab.2024.101877,A. Feydy,a. feydy
171,https://doi.org/10.1002/ijgo.14823,A. Fichez,a. fichez
172,https://doi.org/10.1016/j.icarus.2024.116318,A. Fienga,a. fienga
173,https://doi.org/10.1002/mp.15675,A. Flacco,a. flacco
174,https://doi.org/10.1016/j.ijscr.2024.110611,A. Flores-Gil,a. flores-gil
175,https://doi.org/10.1016/j.physb.2024.416662,A. Fnidiki,a. fnidiki
176,https://doi.org/10.1016/j.healthpol.2022.12.010,A. Fourcade,a. fourcade
177,https://doi.org/10.1002/mds.29205,A. Fournier,a. fournier
178,https://doi.org/10.1016/j.mtadv.2023.100414,A. Frechilla,a. frechilla
179,https://doi.org/10.1016/j.nme.2024.101724,A. Gallo,a. gallo
180,https://doi.org/10.1111/iju.15248,A. Gasmi,a. gasmi
181,https://doi.org/10.1002/jmv.70044,A. Gautheret-Dejean,a. gautheret-dejean
182,https://doi.org/10.1016/j.nme.2023.101456,A. Gentils,a. gentils
183,https://doi.org/10.1016/j.solmat.2024.113149,A. Ghahari,a. ghahari
184,https://doi.org/10.1016/j.jamda.2024.02.014,A. Ghisolfi,a. ghisolfi
185,https://doi.org/10.1016/j.nima.2023.168290,A. Giganon,a. giganon
186,https://doi.org/10.1016/j.femme.2024.02.002,A. Gilbert,a. gilbert
187,https://doi.org/10.1111/risa.14345,A. Giraud,a. giraud
188,https://doi.org/10.1016/j.ophtha.2023.04.014,A. Glacet–Bernard,a. glacetbernard
189,https://doi.org/10.1016/j.jormas.2024.102019,A. Gleizal,a. gleizal
190,https://doi.org/10.1016/j.atherosclerosis.2024.118624,A. Gougeon,a. gougeon
191,https://doi.org/10.1111/ctr.14998,A. Goujon,a. goujon
192,https://doi.org/10.1111/andr.13385,A. Gourinat,a. gourinat
193,https://doi.org/10.1002/pds.5781,A. Grolleau,a. grolleau
194,https://doi.org/10.1016/j.enganabound.2024.105817,A. Hadjadj,a. hadjadj
