,id,display_name,hierarchy_level,parent_publisher
486,https://openalex.org/P4322614466,"Chengdu Shi : ""Xian dai yu fang yi xue"" za zhi she",0.0,
487,https://openalex.org/P4310315710,Archaeological Institute of America,0.0,
488,https://openalex.org/P4322632793,Society of Materials Science,0.0,
489,https://openalex.org/P4310320390,Blackwell Publishing,0.0,
490,https://openalex.org/P4310311934,Peking University Press,0.0,
491,https://openalex.org/P4310317687,Rosenberg & Sellier,0.0,
492,https://openalex.org/P4310314295,Masaryk University,0.0,
493,https://openalex.org/P4310315491,University of Concepción,0.0,
494,https://openalex.org/P4310314219,Czech Academy of Agricultural Sciences,0.0,
495,https://openalex.org/P4320800629,Society of Polymer Science,0.0,
496,https://openalex.org/P4310312114,Brazilian Chemical Society,0.0,
497,https://openalex.org/P4310320387,United Nations Publications,0.0,
498,https://openalex.org/P4310312633,Peoples' Friendship University of Russia,0.0,
499,https://openalex.org/P4310315589,Yale University,0.0,
500,https://openalex.org/P4383694748,Latin American Association for the Advancement of Sciences,0.0,
501,https://openalex.org/P4310320298,IWA Publishing,0.0,
502,https://openalex.org/P4310315981,American Society of Ichthyologists and Herpetologists,0.0,
503,https://openalex.org/P4310317252,Stowarzyszenie Elektryków Polskich,0.0,
504,https://openalex.org/P4320800583,Atomic Energy Society of Japan,0.0,
505,https://openalex.org/P4310320223,Continuum International Publishing Group,0.0,
506,https://openalex.org/P4310320860,Kharkiv State Academy of Physical Culture,0.0,
507,https://openalex.org/P4310320441,M. E. Sharpe,0.0,
508,https://openalex.org/P4365394759,Arche Scientific and Editorial Consultancy,0.0,
509,https://openalex.org/P4310311825,Bloomsbury Publishing plc,0.0,
510,https://openalex.org/P4310312995,Laval University,0.0,
511,https://openalex.org/P4322697539,Wroclaw University of Economics,0.0,
512,https://openalex.org/P4310316374,Northwestern University Press,0.0,
513,https://openalex.org/P4310315745,Radiation Research Society,0.0,
514,https://openalex.org/P4322697801,Innovare Academic Sciences,0.0,
515,https://openalex.org/P4320800558,Audio Engineering Society,0.0,
516,https://openalex.org/P4310322548,Taras Shevchenko National University of Kyiv,0.0,
517,https://openalex.org/P4353105722,Society of Motion Picture and Television Engineers,0.0,
518,https://openalex.org/P4310319721,American Society for Cell Biology,0.0,
519,https://openalex.org/P4310320363,George A. Smathers Libraries,0.0,
520,https://openalex.org/P4310319508,Korea Contents Associaition,0.0,
521,https://openalex.org/P4310320080,Harrassowitz Publishing House,0.0,
522,https://openalex.org/P4310312845,Southern Federal University,0.0,
523,https://openalex.org/P4310315546,Exeley Inc,0.0,
524,https://openalex.org/P4310316727,Columbia Law School,0.0,
525,https://openalex.org/P4310311901,Tsinghua University Press,0.0,
526,https://openalex.org/P4320800528,Edizioni Minerva Medica,0.0,
527,https://openalex.org/P4310315151,Airlangga University,0.0,
528,https://openalex.org/P4310322366,National Aviation University,0.0,
529,https://openalex.org/P4320800608,"Society of Chemical Engineers, Japan",0.0,
530,https://openalex.org/P4360969410,Vietnam Public Health Association,0.0,
531,https://openalex.org/P4310320510,UWA Publishing,0.0,
532,https://openalex.org/P4310311819,Science and Information Organization,0.0,
533,https://openalex.org/P4361727474,China Computer Users Association,0.0,
534,https://openalex.org/P4310311767,Cogent OA,0.0,
535,https://openalex.org/P4310319361,National Science and Technology Council,0.0,
536,https://openalex.org/P4310313267,Japan Endocrine Society,0.0,
537,https://openalex.org/P4320800655,Japan Audiological Society,0.0,
538,https://openalex.org/P4310311696,Royal Anthropological Institute of Great Britain and Ireland,0.0,
539,https://openalex.org/P4310319934,United States Geological Survey,1.0,United States Department of the Interior
540,https://openalex.org/P4310319332,Academia Sinica,0.0,
541,https://openalex.org/P4323237107,Universa BV,0.0,
542,https://openalex.org/P4310319389,Mahasarakham University,0.0,
543,https://openalex.org/P4310313418,Hiroshima University,0.0,
544,https://openalex.org/P4310311682,Royal College of Physicians,0.0,
545,https://openalex.org/P4320800573,European Scientific Institute,0.0,
546,https://openalex.org/P4310321250,Ediciones Universidad de Salamanca,0.0,
547,https://openalex.org/P4353079759,Science and Engineering Research Support Society,0.0,
548,https://openalex.org/P4310310988,ANU Press,0.0,
549,https://openalex.org/P4310311688,British Academy,1.0,Royal Society
550,https://openalex.org/P4322614511,China Aerospace Science and Industry Group,0.0,
551,https://openalex.org/P4310320662,Euromoney Institutional Investor,0.0,
552,https://openalex.org/P4310315239,Universitas Pendidikan Indonesia Press,0.0,
553,https://openalex.org/P4310311202,Académie des Inscriptions et Belles-Lettres,0.0,
554,https://openalex.org/P4310320408,Korean Association of Internal Medicine,0.0,
555,https://openalex.org/P4310312710,National Research University – Higher School of Economics,0.0,
556,https://openalex.org/P4310314920,Bogor Institute of Agriculture,0.0,
557,https://openalex.org/P4310320350,E. Schweizerbart,0.0,
558,https://openalex.org/P4310319805,Ahmad Dahlan University,0.0,
559,https://openalex.org/P4324263201,Ottawa Field-Naturalists' Club,0.0,
560,https://openalex.org/P4404677284,O&M University,,
561,https://openalex.org/P4310321120,Gustav Fischer Verlag,0.0,
562,https://openalex.org/P4310313017,Thomson Reuters,0.0,
563,https://openalex.org/P4310314174,Q12055306,0.0,
564,https://openalex.org/P4310321456,Publishing House Zaslavsky,0.0,
565,https://openalex.org/P4310319954,Royal Netherlands Chemical Society,0.0,
566,https://openalex.org/P4310311471,Sciences Po,0.0,
567,https://openalex.org/P4310313174,Japan Society for Occupational Health,0.0,
568,https://openalex.org/P4310314576,Babeș-Bolyai University,0.0,
569,https://openalex.org/P4310311544,Royal College of Surgeons of England,0.0,
